Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KISENYI III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KISUGU,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KISWA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KIWATULE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KOLOLO I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KOLOLO II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KOLOLO III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KOLOLO IV,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KOMAMBOGA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KYAMBOGO,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KYANJA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KYEBANDO,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUBAGA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUBYA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUKULI,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUNGUJJA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUWAFU,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUZIRA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",LUZIRA PRISONS,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKERERE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKERERE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKERERE III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKERERE UNIVERSITY,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKINDYE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MAKINDYE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MBUYA I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MBUYA II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MENGO,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MPERERWE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MULAGO I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MULAGO II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MULAGO III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MUTUNDWE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",MUTUNGO,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NABISUNSA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAGURU I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAGURU II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAJJANANKUMBI I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAJJANANKUMBI II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKASERO I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKASERO II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKASERO III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKASERO IV,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKAWA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKAWA INSTITUTE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAKIVUBO SHAURIYAAKO,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NAMIREMBE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NANKULABYE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NATEETE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NDEEBA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NSAMBYA CENTRAL,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NSAMBYA ESTATE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NSAMBYA POLICE BARRACKS,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NSAMBYA RAILWAY,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",NTINDA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",OLD KAMPALA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",SALAAMA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
